"REC" "FRE" "MON" "CC_CARD" "AVRG" "PC_CALC20" "PSWEATERS" "PKNIT_TOPS" "PKNIT_DRES" "PBLOUSES" "PJACKETS" "PCAR_PNTS" "PCAS_PNTS" "PSHIRTS" "PDRESSES" "PSUITS" "POUTERWEAR" "PJEWELRY" "PFASHION" "PLEGWEAR" "PCOLLSPND" "AMSPEND" "PSSPEND" "CCSPEND" "AXSPEND" "OMONSPEND" "PREVPD" "GMP" "PROMOS" "DAYS" "FREDAYS" "MARKDOWN" "CLASSES" "COUPONS" "STYLES" "STORES" "STORELOY" "VALPHON" "WEB" "MAILED" "RESPONDED" "RESPONSERATE" "LTFREDAY" "CLUSTYPE" "PERCRET" "RESP" "hi_trans" "amount23" "amount456"
31 3 135.5 1 45.16 16 0.46 0 0.28 0.25 0 0 0 0 0 0 0 0 0 0 0 0 97.5 38 0 0 0 0.63 17 702 234 0.15 3 0 4 2 364 "Y" 0 8 0 0 28.08 20 0 0 3.57934356704563 72 0
154 2 556.62 1 278.31 16 0.13 0 0 0.03 0.57 0.16 0 0 0.09 0 0 0 0 0 0 0 256.04 300.58 0 0 0 0.55 4 646 323 0.11 7 1 11 2 582 "Y" 0 0 0 0 58.72 38 0 0 3.64961874016063 0 427.64
53 7 2083.82 1 297.68 16 0.13 0.009588 0.02 0.04 0.25 0.16 0.04 0.1 0.16 0 0 0 0.01 0.03 0.15 0 1818.11 265.71 0 0 0 0.64 18 677 96.71 0.09 16 0 47 3 2664 "Y" 0 10 4 40 22.56 11 0 0 2.90361698464619 388.35 650.48
194 3 119.95 0 39.98 11 0.29 0 0 0 0.19 0 0.51 0 0 0 0 0 0 0 0 0 0 119.95 0 0 0 0.32 3 581 193.66 0.25 4 0 6 3 615 "Y" 0 0 0 0 116.2 35 0 0 3.66022274486413 0 0
63 8 631.17 1 78.89 11 0.05 0.1 0 0.24 0 0.37 0.04 0.08 0 0 0 0 0 0 0.08 0 0 631.17 0 0 327.97 0.59 15 642 80.25 0.11 9 0 20 3 4584 "Y" 0 8 3 37.5 32.1 10 0.1 0 3.13636340329374 8.99 114.74
320 5 1625.92 0 325.18 11 0.29 0 0 0.14 0.15 0.07 0.05 0.15 0.04 0 0 0.01 0 0.03 0 22 775.93 827.99 0 0 860.95 0.64 16 356 71.2 0.02 16 0 46 3 582 "N" 0 6 0 0 32.36 15 0.02 0 2.83144707924613 0 0
87 5 303.43 1 60.68 11 0 0.06 0.24 0.31 0.15 0.1 0.08 0 0 0 0 0 0 0 0 0 44.55 258.88 0 0 0 0.46 17 665 133 0.22 9 0 15 2 980 "Y" 0 8 1 12.5 33.25 23 0.14 0 3.03927057556847 6.5 0
26 2 144.98 0 72.49 18 0.13 0 0.06 0.24 0 0.2 0 0 0.34 0 0 0 0 0 0 75 0 69.98 0 75 0 0.3 6 449 224.5 0.34 5 0 5 2 3741 "Y" 0 0 0 0 64.14 12 0 1 3.19335286763712 0 0
261 1 376.46 0 376.46 16 0 0 0 0.1 0 0 0 0 0.09 0.42 0.37 0 0 0 0 0 363.96 12.5 0 0 0 0.43 3 261 261 0.4 5 0 7 2 2719 "Y" 0 2 0 0 130.5 16 0 0 3.52812367523454 0 0
7 3 245.43 1 81.81 11 0.12 0 0 0.07 0.28 0 0.1 0 0.2 0 0.19 0 0 0 0.28 0 119.98 125.45 0 119.98 0 0.4 24 528 176 0.33 6 0 7 2 5067 "Y" 0 9 0 0 58.66 20 0 0 3.3243163373262 44.98 80.47
292 2 59.47 0 29.73 11 0 0 0 0 0.82 0 0.17 0 0 0 0 0 0 0 0 0 10.49 48.98 0 0 0 0.2 1 293 146.5 0.3 2 0 3 2 4627 "N" 0 0 0 0 146.5 15 0 0 4.26183444934548 0 0
238 1 92 0 92 11 0.63 0 0 0.36 0 0 0 0 0 0 0 0 0 0 0 0 0 92 0 0 0 0.7 2 238 238 0 2 0 3 1 155 "Y" 0 1 0 0 238 10 0 0 3.97781074596615 0 0
15 2 175.5 0 87.75 11 0 0 0.18 0.5 0.19 0 0.11 0 0 0 0 0 0 0 0 0 135.5 40 0 175.5 0 0.34 2 592 296 0.43 5 0 9 2 4586 "Y" 0 0 0 0 98.66 18 0 1 3.53339455127354 0 0
7 6 190.5 0 31.75 11 0.17 0.07 0.48 0.06 0 0 0 0 0 0 0 0 0 0 0 0 96.5 94 0 122.5 0 0.45 2 145 24.16 0.19 5 0 11 3 364 "Y" 0 0 0 0 13.18 23 0.25 0 3.3235961356386 0 68
135 1 80.99 0 80.99 11 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 80.99 0 0 0 0.6 5 635 635 0.1 1 0 1 1 59 "Y" 0 0 0 0 317.5 32 0 0 4.60517018598809 0 80.99
20 26 1938.63 1 74.56 16 0.4 0.01 0 0.12 0.24 0 0.02 0.14 0 0 0 0 0 0.005983 0.02 0 1259.15 654.49 24.99 92 0 0.65 21 667 25.65 0.07 10 1 51 6 2836 "Y" 1 10 6 60 10.75 10 0.03 0 3.26842760369745 223.49 787.96
168 7 964.46 0 137.78 11 0.22 0 0.02 0.08 0.17 0.18 0.09 0 0.07 0 0 0.03 0.01 0.01 0.15 0 0 913.99 50.47 0 0 0.65 21 363 51.85 0.01 14 1 27 5 2790 "Y" 0 5 1 20 36.3 11 0.06 1 2.79545039138304 0 15
155 6 590.48 0 98.41 11 0.31 0 0 0.07 0.15 0.36 0 0 0 0 0 0 0 0 0.51 0 236.99 328.5 24.99 0 186 0.64 17 678 113 0.09 5 0 14 5 105 "Y" 0 8 3 37.5 37.66 1 0.09 0 3.96651119071222 0 147.99
145 1 261.92 1 261.92 16 0.06 0.27 0.1 0.1 0 0 0.13 0 0.3 0 0 0 0 0 0 0 243.67 18.25 0 0 0 0.57 7 701 701 0.16 6 1 10 2 2980 "Y" 0 3 0 0 175.25 5 0 0 3.07223024452672 0 261.92
17 2 184.02 0 92.01 16 0.53 0 0.11 0 0 0 0 0 0.16 0 0 0 0.16 0.02 0 0 108.74 55.5 19.78 19.78 0 0.46 21 623 311.5 0.26 6 0 10 3 5082 "Y" 0 8 1 12.5 51.91 16 0 0 3.57682995030531 0 0
82 6 344.18 1 57.36 16 0.44 0.02 0 0 0 0 0 0.15 0.1 0 0 0 0 0 0 0 255.33 34.98 53.87 0 0 0.47 5 480 80 0.09 7 1 17 4 4520 "Y" 0 2 1 50 20 18 0.37 0 3.15742586255198 53.87 149.96
289 2 374.74 0 187.37 11 0.39 0 0 0.1 0.42 0 0 0.08 0 0 0 0 0 0 0 0 176.99 197.75 0 0 0 0.65 14 306 153 0.06 4 0 9 2 4513 "N" 0 5 0 0 102 16 0 0 3.55649026606819 0 0
181 2 315 0 157.5 11 0.15 0 0 0.17 0.31 0.18 0.15 0 0 0 0 0 0 0.01 0.5 0 49 266 0 0 0 0.67 19 473 236.5 0.05 6 0 7 3 4608 "Y" 0 8 1 12.5 94.6 16 0 0 3.83600551900423 0 0
78 2 431.56 0 215.78 17 0.05 0 0 0.31 0.3 0.21 0 0 0 0 0 0.11 0 0 0 0 0 74.68 356.88 0 0 0.53 19 383 191.5 0.14 6 1 16 2 5581 "Y" 0 5 1 20 38.3 10 0 1 3.22326617316949 431.56 0
19 3 189.99 0 63.33 16 0.43 0 0 0 0 0 0.56 0 0 0 0 0 0 0 0 0 155.99 34 0 53.99 0 0.62 2 237 79 0.12 3 0 6 4 2950 "Y" 0 0 0 0 47.4 11 0 0 3.92769948481315 0 87
41 8 492.88 1 61.61 16 0.39 0 0 0 0.13 0.04 0.08 0.22 0.05 0 0.02 0 0 0.02 0 0 336.48 145.28 11.12 0 228.5 0.49 23 450 56.25 0.31 11 1 20 4 2733 "Y" 0 9 4 44.44 34.61 3 0 0 3.18345587963694 87.9 108.23
178 5 791.86 0 158.37 11 0.15 0.02 0.04 0.07 0.33 0 0 0.14 0.23 0 0 0 0 0 0.02 0 54 570.91 166.95 0 0 0.56 14 605 121 0.11 11 0 18 6 331 "Y" 1 4 0 0 43.21 4 0 0 3.07731226054641 0 162
159 2 181 1 90.5 11 0.56 0 0 0 0.43 0 0 0 0 0 0 0 0 0 0 0 0 181 0 0 0 0.56 19 674 337 0.25 3 1 6 1 684 "Y" 0 8 2 25 96.28 4 0 0 3.92789635458444 0 73
66 5 455.79 0 91.15 11 0.08 0 0 0.06 0.19 0.07 0 0 0.08 0.41 0 0 0.06 0 0 0 0 455.79 0 0 0 0.47 15 465 93 0.16 8 0 9 2 3 "Y" 1 4 2 50 77.5 15 0 0 3.19171015679543 125.97 207.97
287 1 151.99 0 151.99 11 0.67 0 0 0 0 0 0 0.32 0 0 0 0 0 0 0 0 0 151.99 0 0 0 0.65 14 287 287 0 2 0 3 1 62 "Y" 0 4 0 0 287 4 0 0 4.02266952551521 0 0
